[12:59:45]: '1207.0:30.0:32.0:12.647491:3.0:1.0'
[12:59:53]: '966.0:24.0:26.0:11.297142:3.0:1.0'
[13:03:43]: '1207.0:30.0:32.0:11.735383:3.0:1.0'
[13:03:50]: '966.0:24.0:26.0:11.082397:3.0:1.0'
[13:03:58]: '966.0:24.0:26.0:11.082397:3.0:1.0'
[13:04:06]: '966.0:24.0:26.0:10.661543:3.0:1.0'
[13:04:14]: '966.0:24.0:26.0:11.082397:3.0:1.0'
[13:04:22]: '966.0:24.0:26.0:11.735383:3.0:1.0'
[13:04:30]: '966.0:24.0:26.0:13.856328:3.0:1.0'
[13:04:38]: '966.0:24.0:26.0:11.514791:3.0:1.0'
[13:04:46]: '966.0:24.0:26.0:11.082397:3.0:1.0'
[13:04:54]: '966.0:24.0:26.0:11.514791:3.0:1.0'
[13:05:02]: '966.0:24.0:26.0:11.297142:3.0:1.0'
[13:05:10]: '966.0:24.0:26.0:11.514791:3.0:1.0'
[13:05:18]: '966.0:24.0:26.0:10.661543:3.0:1.0'
[13:05:26]: '966.0:24.0:26.0:11.958917:3.0:1.0'
